Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
Chicago,at IND,,MIL,3in4-B2B
Indiana,CHI,,,
Brooklyn,at WAS,,,
Washington,BKN,,,
Miami,at BOS,3in4-B2B,,
Boston,MIA,3in4-B2B,,
Milwaukee,at MIN,,at CHI,3in4-B2B
Minnesota,MIL,,,
L.A. Clippers,at HOU,,at OKC,3in4-B2B
Houston,LAC,,NYK,B2B
New York,at NOP,,at HOU,3in4-B2B
New Orleans,NYK,,,
Detroit,at ATL,,,
Atlanta,DET,,,
Portland,at SAS,,,
San Antonio,POR,,,
Philadelphia,at DEN,B2B,,
Denver,PHI,,,
Dallas,at GSW,4in5-B2B,,
Golden State,DAL,,,
